Marija;67609
Ana;28439
Maja;13095
Irena;1257
Mojca;11454
Mateja;10521
Jožefa;10416
Nataša;10199
Nina;9813
Barbara;9666
Jožica;9603
Andreja;957
Frančiška;924
Petra;923
Ivana;8902
Katja;8706
Anja;8401
Sonja;838
Milena;8254
Katarina;8213
Tatjana;8192
Terezija;8045
Tanja;7914
Alenka;7882
Majda;779
Martina;7722
Vesna;7649
Tina;7608
Urška;74
Eva;6933
Helena;6825
Anica;6763
Kristina;6742
Sara;6691
Angela;6652
Dragica;6635
Špela;6567
Nada;6553
Antonija;6547
Tjaša;6391
Darja;6217
Olga;6183
Danica;6024
Marjeta;6009
Nika;5994
Simona;586
Zdenka;571
Vida;5601
Suzana;558
Lidija;5557
Ivanka;5545
Ljudmila;5483
Marta;5404
Alojzija;5197
Sabina;5105
Janja;5039
Veronika;4904
Silva;4879
Darinka;4623
Neža;4592
Štefanija;4493
Karmen;4492
Stanislava;4492
Elizabeta;412
Anita;4112
Aleksandra;4101
Brigita;4082
Lara;3907
Cvetka;3859
Metka;3832
Jana;3752
Monika;3686
Pavla;3674
Ema;3669
Maša;3645
Nevenka;3625
Natalija;3614
Slavica;346
Marjana;3416
Renata;3392
Lucija;3383
Branka;3379
Jasmina;3377
Lea;3348
Rozalija;3254
Saša;3238
Tamara;3176
Vera;3131
Klara;313
Kaja;3113
Bernarda;3047
Danijela;299
Klavdija;2988
Erika;2892
Bojana;2867
Romana;2834
Mira;2809
Jasna;2786
Lana;2729
Zala;2679
Jelka;2669
Polona;2662
Mirjana;2587
Sandra;2563
Valerija;2535
Valentina;2514
Teja;2483
Tadeja;2482
Manca;2444
Mihaela;2363
Sanja;2362
Julijana;2333
Ida;2331
Laura;2316
Ines;2306
Breda;2299
Karolina;2239
Matilda;2235
Albina;2218
Maruša;2183
Gabrijela;2182
Ksenija;2174
Amalija;2159
Patricija;2151
Nuša;214
Hana;2033
Vanja;2006
Zofija;2
Magdalena;1993
Viktorija;1991
Vlasta;1946
Cecilija;1922
Julija;1919
Marjetka;1918
Melita;1895
Živa;187
Ljubica;1819
Emilija;1805
Ajda;1783
Marina;1774
Gordana;175
Justina;1741
Marinka;1725
Marica;1719
Pia;1653
Polonca;1643
Nadja;1615
Urša;1593
Alja;1562
Neja;1547
Milka;1528
Damjana;1515
Tea;1511
Karin;1485
Nastja;1469
Doroteja;1445
Marijana;1405
Milica;1391
Jerneja;1371
Štefka;133
Nives;1328
Slavka;1325
Dušanka;1293
Taja;1285
Andrejka;1271
Jelena;1267
Marjanca;1241
Stanka;1237
Ana Marija;1229
Lilijana;1229
Irma;1227
Larisa;1198
Miroslava;1195
Mirjam;1188
Rebeka;1167
Zlatka;1166
Jolanda;1115
Zvonka;1095
Zora;1074
Hermina;1036
Ivica;1032
Blanka;1009
Tinkara;997
Zoja;996
Erna;981
Gaja;978
Iris;966
Liljana;966
Brina;962
Hedvika;960
Anka;959
Daniela;943
Magda;941
Daša;934
Iva;931
Vilma;927
Anamarija;911
Jerica;911
Adrijana;910
Tia;907