USA;69911
India;23323
UK;17849
Canada;9190
Germany;7853
Australia;6429
China;5552
France;4632
Russia;4580
The Netherlands;4194
Brazil;4018
Sweden;3873
Italy;2837
Spain;2828
Poland;2658
Ukraine;2298
Denmark;2053
Belgium;2022
Turkey;1910
Norway;1758
Switzerland;1745
Romania;1635
South Africa;1611
Pakistan;1535
Israel;1518
New Zealand;1507
Ireland;1339
Japan;1259
Argentina;1258
Portugal;1255
Mexico;1251
Austria;1150
Czech;1134
Indonesia;1102
Singapore;1098
Finland;1086
Iran;1004
Philippines;960
Greece;879
Hungary;791
South Korea;728
Egypt;725
Bangladesh;724
Vietnam;691
Bulgaria;674
Belarus;669
Taiwan;592
Sri Lanka;576
Malaysia;570
Serbia;554
Thailand;500
Croatia;473
Hong Kong;410
Colombia;410
Lithuania;387
Chile;377
Slovenia;347
Latvia;338
Slovakia;327
Estonia;295
Nepal;287
Venezuela;275
Kenya;270
Uruguay;240
United Arab Emirates;222
Jordan;218
Peru;214
Nigeria;210
Georgia;202
Iceland;193
Costa Rica;175
Tunisia;172
Macedonia (FYROM);159
Lebanon;145
Saudi Arabia;143
Morocco;134
Dominican Republic;132
Syria;131
Moldova;129
Armenia;125
Malta;118
Bosnia and Herzegovina;111
Kazakhstan;103
Netherlands;102
Ecuador;97
Puerto Rico;89
Guatemala;86
Algeria;83
Cyprus;81
Cambodia;80
Paraguay;77
Bolivia;75
Kuwait;69
Uganda;68
Ghana;66
Palestine;63
Luxembourg;63
Burma;61
Azerbaijan;59
Cuba;57
Uzbekistan;56
Panama;54
Jamaica;44
Mauritius;44
Bahrain;43
El Salvador;43
Myanmar;43
Kyrgyzstan;38
Ethiopia;37
Albania;35
Mongolia;33
Qatar;33
Trinidad and Tobago;33
Nicaragua;31
Iraq;29
Honduras;28
Tanzania;26
Afghanistan;24
Namibia;22
Zimbabwe;21
Oman;19
Kosovo;19
Madagascar;19
Yemen;18
Senegal;16
Bermuda;15
Sudan;15
Maldives;15
Montenegro;14
Isle of Man;14
Zambia;14
Botswana;14
Netherlands Antilles;13
Micronesia;13
Macau;12
Reunion;12
Faroe Islands;11
Belize;11
Cameroon;10
Benin;9
Libya;9
Brunei Darussalam;9
Mozambique;9
Fiji;9
US Virgin Islands;8
Mali;7
Gibraltar;7
The Gambia;6
Burkina Faso;6
Malawi;6
Barbados;6
New Caledonia;6
The Bahamas;5
Greenland;5
Somalia;5
Cayman Islands;5
C̫te d'Ivoire;5
Swaziland;4
San Marino;4
Andorra;4
Borneo;4
Liechtenstein;4
St Lucia;4
Guadeloupe;4
Turkmenistan;3
Aruba;3
Laos;3
Monaco;3
Guam;3
Lesotho;3
Tajikistan;3
Seychelles;3
Angola;3
Guyana;3
Papua New Guinea;3
Congo;3
Liberia;2
Solomon Islands;2
Vanuatu;2
Togo;2
French Polynesia;2
Cape Verde;2
Bhutan;2
Haiti;2
Svalbard and Jan Mayen;2
Rwanda;2
Suriname;2
Mauritania;2
Guinea;2
Vatican;1
American Samoa;1
Samoa;1
Equatorial Guinea;1
Norfolk Island;1
Christmas Island;1
Niger;1
Tuvalu;1
Sierra Leone;1
St Vincent and the Grenadines;1
Djibouti;1
Antigua and Barbuda;1
Aland Islands;1
Martinique;1
North Korea;1
